stt,ma_ck,url,datetime,ngay_su_kien,nhan_duyen,nhan_an,nhan_final,nguon_nhan
45,FPT,https://cafef.vn/ceo-nvidia-jensen-huang-tro-lai-viet-nam-fpt-lap-ky-luc-moi-188241205173742597.chn,12/5/2024 17:37,12/6/2024,trung_tinh,,trung_tinh,duyen
46,SAB,https://cafef.vn/cong-ty-bia-lon-nhat-viet-nam-ban-it-bia-hon-nhung-lai-khung-hon-ngoi-khong-cung-kiem-27-ty-dong-tien-lai-moi-ngay-188251029081331927.chn,10/29/2025 8:16,10/29/2025,,tich_cuc,tich_cuc,an
47,HPG,https://cafef.vn/nganh-thep-nam-2025-tang-truong-tu-noi-luc-188250126103609673.chn,1/26/2025 10:35,1/27/2025,,trung_tinh,trung_tinh,an
48,VIC,https://cafef.vn/ty-phu-pham-nhat-vuong-tai-tro-900-ty-dong-cho-khoa-hoc-cong-nghe-viet-nam-qua-quy-phi-loi-nhuan-188241220170657331.chn,12/20/2024 17:07,12/23/2024,,trung_tinh,trung_tinh,an
49,POW,https://cafef.vn/nhiet-dien-nhon-trach-tre-gay-thiet-hai-hon-1000-ty-bi-thu-dong-nai-lo-tin-nghia-that-thoat-von-188240510222036205.chn,5/11/2024 0:15,5/13/2024,tieu_cuc,,tieu_cuc,duyen
50,FPT,https://cafef.vn/thu-tuong-trieu-tap-lanh-dao-tt-hoa-phat-gelex-va-loat-ngan-hang-vietcombank-bidv-vietinbank-vpbank-188250227113121667.chn,2/27/2025 11:32,2/27/2025,trung_tinh,,trung_tinh,duyen
51,HPG,https://cafef.vn/lan-dau-tien-trong-lich-su-von-hoa-hoa-phat-vuot-vingroup-18824012314495262.chn,1/23/2024 14:52,1/23/2024,,trung_tinh,trung_tinh,an
52,VHM,https://cafef.vn/he-lo-loat-thong-tin-moi-nhat-ve-sieu-du-an-ty-usd-gan-200ha-cua-vinhomes-tai-long-an-188231102132219321.chn,11/2/2023 13:25,11/2/2023,,trung_tinh,trung_tinh,an
53,BID,https://cafef.vn/ngan-hang-viet-bat-tay-cac-dinh-che-tai-chinh-hang-dau-nhat-ban-han-quoc-singapore-vietcombank-vietinbank-bidv-deu-tang-truong-manh-me-co-dong-chien-luoc-thang-lon-tham-chi-lai-gap-nhieu-lan-188240109233530984.chn,1/10/2024 0:01,1/10/2024,,trung_tinh,trung_tinh,an
54,MWG,https://cafef.vn/nhung-sang-kien-con-nuoc-con-tat-cua-the-gioi-di-dong-fpt-retail-hay-digiworld-nham-cuu-van-su-am-dam-cua-nganh-hang-smartphone-va-laptop-188240506082058759.chn,5/6/2024 8:20,5/6/2024,,trung_tinh,trung_tinh,an
55,VPB,https://cafef.vn/vpbank-hop-tac-cung-clb-bong-da-cong-an-ha-noi-phat-trien-bong-da-viet-188240820104438917.chn,8/20/2024 10:44,8/20/2024,,trung_tinh,trung_tinh,an
56,VRE,https://cafef.vn/vincom-retail-len-ke-hoach-lai-ky-luc-tung-ra-thi-truong-gan-120000m2-mat-san-ban-le-nam-2025-188250331220029355.chn,4/1/2025 0:03,4/1/2025,,trung_tinh,trung_tinh,an
57,VIC,https://cafef.vn/khoan-no-800000-ty-dong-bi-thong-tin-that-thiet-cua-vingroup-co-gi-dang-chu-y-188250909133944957.chn,9/9/2025 13:41,9/9/2025,trung_tinh,trung_tinh,trung_tinh,nhat_tri
58,VJC,https://cafef.vn/vietjet-huy-dong-lo-trai-phieu-thu-7-trong-nam-2025-188251230090638049.chn,12/30/2025 10:00,12/30/2025,,trung_tinh,trung_tinh,an
59,MWG,https://cafef.vn/bach-hoa-xanh-hoan-tien-cho-khach-hang-mua-gia-do-ban-188241228195142105.chn,12/28/2024 19:51,12/30/2024,,trung_tinh,trung_tinh,an
60,MWG,https://cafef.vn/chi-ban-moi-biet-ban-co-dang-hoang-hay-khong-the-gioi-di-dong-15-nam-lien-tiep-chon-ernst--young-kiem-toan-bao-cao-tai-chinh-188240612164602772.chn,6/12/2024 16:41,6/13/2024,trung_tinh,,trung_tinh,duyen
61,FPT,https://cafef.vn/ong-truong-gia-binh-he-lo-bi-kip-de-fpt-thanh-cong-nhu-deepseek-188250204094602786.chn,2/4/2025 9:45,2/4/2025,,trung_tinh,trung_tinh,an
62,VIC,https://cafef.vn/ty-phu-pham-nhat-vuong-tang-gan-300-bac-tren-bang-xep-hang-nguoi-giau-nhat-the-gioi-vuot-george-soros-bo-xa-ong-donald-trump-188250328233515086.chn,3/29/2025 0:01,3/31/2025,,trung_tinh,trung_tinh,an
63,VIC,https://cafef.vn/vingroup-chuan-bi-khoi-cong-3-sieu-du-an-tong-von-dau-tu-13-ty-usd-trong-thang-4-18825033016293944.chn,3/30/2025 17:22,3/31/2025,,trung_tinh,trung_tinh,an
64,HDB,https://cafef.vn/neu-mot-ngay-tai-khoan-chung-khoan-giam-ca-ty-dong-dung-buon-vi-co-nhung-nguoi-da-mat-hang-nghin-chuc-nghin-ty-188251020163817401.chn,10/20/2025 16:38,10/21/2025,tieu_cuc,trung_tinh,trung_tinh,bat_dong_uu_tien_an
65,MWG,https://cafef.vn/bo-doi-co-phieu-ban-le-fpt-retail-va-the-gioi-di-dong-bat-ngo-tang-manh-truoc-gio-g-cong-bo-ket-qua-kinh-doanh-quy-4-188240125163606831.chn,1/25/2024 16:22,1/26/2024,trung_tinh,,trung_tinh,duyen
66,SHB,https://cafef.vn/shb-kien-dinh-chien-luoc-tang-truong-ben-vung-hop-tac-toan-dien-188250829131400037.chn,8/29/2025 13:30,8/29/2025,,trung_tinh,trung_tinh,an
67,HPG,https://cafef.vn/nong-nghiep-hoa-phat-chinh-thuc-nop-ho-so-ipo-toi-da-30-trieu-co-phieu-ban-gia-khong-thap-hon-11887-dongcp-18825091708290682.chn,9/17/2025 8:29,9/17/2025,,trung_tinh,trung_tinh,an
68,VPB,https://cafef.vn/hon-11000-vdv-da-chinh-phuc-cung-duong-an-tuong-tai-giai-chay-dem-tp-hcm-188240303215358989.chn,3/3/2024 22:00,3/4/2024,trung_tinh,,trung_tinh,duyen
69,HPG,https://cafef.vn/hoa-phat-nhan-tin-vui-tu-chinh-quyen-cho-du-an-85000-ty-dong-188250903153530297.chn,9/3/2025 15:35,9/4/2025,,trung_tinh,trung_tinh,an
70,VJC,https://cafef.vn/co-phieu-vietjet-phi-nhu-ten-lua-tai-san-ty-phu-nguyen-thi-phuong-thao-can-moc-4-ty-usd-188251015110158636.chn,10/15/2025 11:02,10/15/2025,tich_cuc,trung_tinh,trung_tinh,bat_dong_uu_tien_an
71,FPT,https://cafef.vn/co-phieu-fpt-miet-mai-vuot-dinh-tai-san-cua-ong-truong-gia-binh-va-hai-cong-than-tang-gan-8000-ty-tu-dau-nam-188240708163036155.chn,7/8/2024 16:30,7/9/2024,,trung_tinh,trung_tinh,an
72,VHM,https://cafef.vn/vinhomes-khang-dinh-du-kha-nang-thuc-hien-cac-du-an-doc-lap-ngay-ca-khi-khong-co-su-ho-tro-tu-vingroup-188231009163543749.chn,10/9/2023 16:36,10/10/2023,trung_tinh,,trung_tinh,duyen
73,VIC,https://cafef.vn/trinh-thu-tuong-nhieu-du-an-vingroup-muon-chi-30-ty-usd-vao-mot-linh-vuc-trong-diem-cua-viet-nam-188250325181645021.chn,3/25/2025 18:30,3/26/2025,trung_tinh,,trung_tinh,duyen
74,FPT,https://cafef.vn/cong-bo-top-10-tap-doan-tu-nhan-da-nganh-nop-ngan-sach-lon-nhat-viet-nam-nhieu-diem-chung-bat-ngo-188240831004113787.chn,9/4/2024 10:47,9/4/2024,trung_tinh,,trung_tinh,duyen
75,TCB,https://cafef.vn/techcombank-tien-phong-trien-khai-dich-vu-xac-thuc-dien-tu-qua-vneid-188241110074916929.chn,11/10/2024 7:49,11/11/2024,trung_tinh,,trung_tinh,duyen
76,FPT,https://cafef.vn/thanh-vien-scic-chi-mua-vao-125-luong-co-phieu-fpt-da-dang-ky-188260329131652249.chn,3/29/2026 14:16,3/30/2026,trung_tinh,,trung_tinh,duyen
77,MSN,https://cafef.vn/bat-dong-san-unity-va-3-doanh-nghiep-khac-bi-xu-phat-vi-em-thong-tin-188251209071452045.chn,12/9/2025 8:14,12/9/2025,,trung_tinh,trung_tinh,an
78,VPB,https://cafef.vn/chuyen-tau-ky-uc-va-ong-lon-dua-westlife-ve-viet-nam-188231115155554512.chn,11/15/2023 16:00,11/16/2023,,trung_tinh,trung_tinh,an
79,VHM,https://cafef.vn/doanh-so-vinhomes-quy-1-uoc-dat-35000-ty-chu-yeu-den-tu-vinhomes-dan-phuong-sieu-du-an-can-gio-se-dong-gop-doanh-so-trong-3-nam-toi-188250423142620687.chn,4/23/2025 15:24,4/24/2025,,trung_tinh,trung_tinh,an
80,MWG,https://cafef.vn/11-nam-ban-11-dot-esop-thu-ve-680-ty-dong-khi-gia-thi-truong-hon-11400-ty-ong-nguyen-duc-tai-lan-dau-tien-nhuong-bo-co-dong-188250223225409778.chn,2/24/2025 0:04,2/24/2025,trung_tinh,,trung_tinh,duyen
81,STB,https://cafef.vn/chu-tich-duong-cong-minh-va-nguoi-lien-quan-nam-bao-nhieu-co-phieu-sacombank-18825122614155428.chn,12/26/2025 14:15,12/26/2025,trung_tinh,,trung_tinh,duyen
82,HDB,https://cafef.vn/thang-10-bung-no-cua-ty-phu-nguyen-thi-phuong-thao-tai-san-tiem-can-45-ty-usd-hang-loat-thuong-vu-lon-ghi-dau-thi-truong-quoc-te-18825103107513519.chn,11/1/2025 0:03,11/3/2025,trung_tinh,trung_tinh,trung_tinh,nhat_tri
83,MWG,https://cafef.vn/the-gioi-di-dong-dan-nhe-ganh-voi-khoan-lo-tu-hai-chuoi-bach-hoa-xanh-va-an-khang-trong-3-thang-dau-nam-2024-18824050123322902.chn,5/3/2024 0:02,5/3/2024,trung_tinh,tich_cuc,tich_cuc,bat_dong_uu_tien_an
84,VHM,https://cafef.vn/chi-hon-1-thang-vinhomes-vhm-da-huy-dong-thanh-cong-8000-ty-dong-trai-phieu-lai-suat-12nam-188240510162739017.chn,5/10/2024 16:30,5/13/2024,trung_tinh,,trung_tinh,duyen
85,MWG,https://cafef.vn/chu-tich-hdqt-nguyen-duc-tai-khang-dinh-tang-truong-cua-the-gioi-di-dong-trong-5-nam-toi-se-nam-tren-vai-bach-hoa-xanh-khong-co-y-dinh-thu-nghiem-chuoi-moi-188240229164222677.chn,2/29/2024 16:53,3/1/2024,trung_tinh,,trung_tinh,duyen
86,MWG,https://cafef.vn/the-gioi-di-dong-ban-duoc-60000-chiec-iphone-16--kiem-2000-ty-doanh-thu-sau-thang-dau-mo-ban-gap-3-lan-iphone-15-cua-nam-ngoai-188241102111237081.chn,11/2/2024 11:17,11/4/2024,tich_cuc,tich_cuc,tich_cuc,nhat_tri
87,MSN,https://cafef.vn/phuc-long-lai-hon-300-trieu-moi-ngay-trong-nam-2024-188250205155906764.chn,2/5/2025 15:58,2/6/2025,,tich_cuc,tich_cuc,an
88,MWG,https://cafef.vn/ong-nguyen-duc-tai-bao-tin-vui-cho-co-dong-the-gioi-di-dong-sau-khi-von-hoa-vuot-100000-ty-doanh-thu-thang-7-tiep-tuc-tang-du-bao-nam-2025-se-thuan-loi-hon-nua-188240817014652646.chn,8/17/2024 7:58,8/19/2024,trung_tinh,,trung_tinh,duyen
89,HPG,https://cafef.vn/hoa-phat-de-xuat-4-du-an-dien-mat-troi-tong-cong-suat-gan-500mw-tai-dung-quat-188260128134424199.chn,1/28/2026 13:45,1/28/2026,trung_tinh,,trung_tinh,duyen
90,FPT,https://cafef.vn/von-hoa-fpt-chi-con-kem-vingroup-chua-den-1-phien-tran-188240424225954832.chn,4/25/2024 0:02,4/25/2024,trung_tinh,,trung_tinh,duyen
91,MWG,https://cafef.vn/sau-qua-trinh-tap-gym-toan-bo-he-thong-bach-hoa-xanh-tu-con-no-tro-thanh-con-cung-cua-the-gioi-di-dong-hien-thuc-hoa-muc-tieu-mang-tien-ve-cho-me-nam-2024-188240611130407779.chn,6/11/2024 13:05,6/11/2024,,tich_cuc,tich_cuc,an
92,VIC,https://cafef.vn/vinfast-do-bo-congo-tham-vong-ban-100000-xe-may-ngang-muc-dinh-tai-viet-nam-chi-trong-1-quy-chinh-sach-khai-tu-xe-cu-co-do-lai-con-khat-dien-nang-188251231081302067.chn,12/31/2025 8:12,12/31/2025,trung_tinh,trung_tinh,trung_tinh,nhat_tri
93,VHM,https://cafef.vn/vndirect-118700-ty-dong-doanh-so-cua-vinhomes-dang-nam-cho-ky-vong-vao-2-da-chien-luoc-o-co-loa-va-dan-phuong-188240921083824546.chn,9/21/2024 8:38,9/23/2024,trung_tinh,,trung_tinh,duyen
94,VCB,https://cafef.vn/suc-manh-cua-ngan-hang-lon-nhat-viet-nam-von-hoa-vietcombank-tang-1-phien-lon-hon-gia-tri-cua-ca-nghin-doanh-nghiep-tren-san-chung-khoan-188250827223729439.chn,8/28/2025 0:01,8/28/2025,trung_tinh,,trung_tinh,duyen
95,SSI,https://cafef.vn/ssi-lap-ky-luc-moi-vay-hop-von-quoc-te-lon-nhat-nganh-chung-khoan-188251210100551725.chn,12/10/2025 10:05,12/10/2025,trung_tinh,,trung_tinh,duyen
96,SAB,https://cafef.vn/sabeco-van-quyet-tam-tang-32-cong-suat-nha-may-bia-cu-chi-len-350-trieu-litnam-sau-nhieu-lan-bi-tu-choi-tu-2019-188250821085231616.chn,8/21/2025 8:52,8/21/2025,,trung_tinh,trung_tinh,an
97,HPG,https://cafef.vn/hoa-phat-duoc-du-bao-doanh-thu-155000-ty-loi-nhuan-12591-ty-trong-nam-2025-188250317052524934.chn,3/17/2025 5:25,3/17/2025,,trung_tinh,trung_tinh,an
98,VRE,https://cafef.vn/su-xuat-hien-cua-lotte-mall-tay-ho-tai-ha-noi-hay-hung-vuong-plaza-tai-tp-hcm-co-gay-anh-huong-den-thi-phan-cua-vincom-retail-188231114141353651.chn,11/14/2023 14:18,11/14/2023,trung_tinh,trung_tinh,trung_tinh,nhat_tri
99,FPT,https://cafef.vn/fpt-bao-lai-rong-thang-6-tang-truong-32-so-voi-cung-ky-188250717182829265.chn,7/17/2025 18:28,7/18/2025,,tich_cuc,tich_cuc,an
100,HDB,https://cafef.vn/quy-affinity-roe-cua-hdbank-dang-dan-dau-viet-nam-va-co-the-dan-dau-dong-nam-a-188250425082521845.chn,4/25/2025 8:25,4/25/2025,,trung_tinh,trung_tinh,an
101,SHB,https://cafef.vn/kqkd-on-dinh-co-dong-ky-vong-vao-dhdcd-shb-188240321144706733.chn,3/21/2024 15:15,3/22/2024,trung_tinh,,trung_tinh,duyen
102,MWG,https://cafef.vn/ong-nguyen-duc-tai-bat-ngo-nhan-luong-0-dong-du-the-gioi-di-dong-lai-dot-bien-hon-900-ty-quy-dau-nam-188240429222818004.chn,4/30/2024 5:00,4/30/2024,trung_tinh,,trung_tinh,duyen
103,HDB,https://cafef.vn/toan-canh-ke-hoach-co-tuc-ngan-hang-nam-2024-techcombank-chi-dam-nhat-cho-co-dong-7-ngan-hang-tra-tien-mat-188240407005535818.chn,4/7/2024 7:54,4/8/2024,,trung_tinh,trung_tinh,an
104,HPG,https://cafef.vn/moi-ngay-mua-1-co-phieu-hpg-cua-hoa-phat-hieu-suat-sinh-loi-dang-kinh-ngac-tu-xe-lu-188250917144143297.chn,9/17/2025 14:41,9/17/2025,trung_tinh,,trung_tinh,duyen
105,SSI,https://cafef.vn/loat-ngan-hang-cong-ty-chung-khoan-chuan-bi-cho-san-choi-tai-san-so-188250907220813604.chn,9/8/2025 0:05,9/8/2025,,trung_tinh,trung_tinh,an
106,VCB,https://cafef.vn/vietcombank-bo-nhiem-nguoi-dai-dien-theo-phap-luat-thay-ong-pham-quang-dung-188240105110412561.chn,1/5/2024 11:11,1/5/2024,trung_tinh,trung_tinh,trung_tinh,nhat_tri
107,VJC,https://cafef.vn/vietjet-cat-noc-hangar-chuan-quoc-te-khai-truong-chuyen-bay-toi-cang-hang-khong-quoc-te-long-thanh-18825121913030027.chn,12/19/2025 13:02,12/19/2025,trung_tinh,trung_tinh,trung_tinh,nhat_tri
108,HPG,https://cafef.vn/hoa-phat-cung-dn-tung-tham-gia-xay-san-van-dong-world-cup-2022-muon-lam-tong-thau-epc-thi-cong-cac-du-an-duong-sat-tai-tp-ho-chi-minh-188250520104417618.chn,5/20/2025 10:44,5/20/2025,,trung_tinh,trung_tinh,an
109,VIB,https://cafef.vn/khoi-ngoai-bat-ngo-ban-rong-hon-148-trieu-co-phieu-gan-5-von-tai-mot-ngan-hang-chuyen-gi-dang-xay-ra-188240924170324337.chn,9/24/2024 17:03,9/25/2024,tich_cuc,trung_tinh,trung_tinh,bat_dong_uu_tien_an
